Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,1.000,1.000,-,-,-,-
CT,None,1.000,1.000,-,-,-,-
GLR,None,1.000,1.000,1.000,0.002,0.000,0.001
GLR,Histogram,1.000,1.000,1.000,0.000,0.000,0.000
GLR,Isotonic,1.000,1.000,1.000,0.000,0.000,0.000
GLR,Platt,1.000,1.000,1.000,0.000,0.000,0.000
GLR,Platt v2,1.000,1.000,1.000,0.000,0.000,0.000
GLR,Temperature,1.000,1.000,1.000,0.270,0.073,0.174
GLR,Temperature v2,1.000,1.000,1.000,0.000,0.000,0.000
GLR,Beta,1.000,1.000,1.000,0.000,0.000,0.000
CLR,None,1.000,1.000,1.000,0.024,0.001,0.012
CLR,Histogram,1.000,1.000,1.000,0.002,0.000,0.001
CLR,Isotonic,1.000,1.000,1.000,0.002,0.000,0.001
CLR,Platt,1.000,1.000,1.000,0.012,0.000,0.006
CLR,Platt v2,1.000,1.000,1.000,0.000,0.000,0.000
CLR,Temperature,1.000,1.000,1.000,0.279,0.078,0.177
CLR,Temperature v2,1.000,1.000,1.000,0.000,0.000,0.000
CLR,Beta,1.000,1.000,1.000,0.000,0.000,0.000
EmbCLR,None,1.000,1.000,1.000,0.030,0.001,0.015
EmbCLR,Histogram,1.000,1.000,1.000,0.001,0.000,0.001
EmbCLR,Isotonic,1.000,1.000,1.000,0.001,0.000,0.001
EmbCLR,Platt,1.000,1.000,1.000,0.011,0.000,0.006
EmbCLR,Platt v2,1.000,1.000,1.000,0.000,0.000,0.000
EmbCLR,Temperature,1.000,1.000,1.000,0.281,0.079,0.178
EmbCLR,Temperature v2,1.000,1.000,1.000,0.000,0.000,0.000
EmbCLR,Beta,1.000,1.000,1.000,0.000,0.000,0.000
